,Matchid,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12,Players_13,Players_14,Players_15,Players_16,Players_17,Players_18,Players_19,Players_20,Players_21,Players_22,,Runs_1,Over_1
0,1004261,G Malla,AK Mandal,S Vesawkar,P Khadka,Sagar Pun,R Rijal,B Bhandari,Sompal Kami,B Regmi,Karan KC,S Lamichhane,SJ Myburgh,MJG Rippon,W Barresi,BN Cooper,RE van der Merwe,T van der Gugten,Mudassar Bukhari,Ahsan Malik,PA van Meekeren,-,-,,-,-
1,1004269,C Carter,KD Shah,Babar Hayat,Nizakat Khan,Anshuman Rath,Tanwir Afzal,Nadeem Ahmed,Aizaz Khan,Ehsan Khan,Tanveer Ahmed,-,IA Karim,AA Obanda,DM Gondaria,RR Patel,CO Obuya,NK Patel,Gurdeep Singh,NN Odhiambo,SO Ngoche,NM Odhiambo,LN Oluoch,,-,-
2,1004283,KJ Coetzer,CD Wallace,CS MacLeod,MH Cross,RD Berrington,PL Mommsen,CD de Lange,SM Sharif,CB Sole,AC Evans,MRJ Watt,Nizakat Khan,Aizaz Khan,Babar Hayat,Anshuman Rath,Ehsan Khan,Tanwir Afzal,Nadeem Ahmed,Tanveer Ahmed,-,-,-,,-,-
3,1004285,KJ Coetzer,MH Cross,CS MacLeod,MA Leask,RD Berrington,CD de Lange,CD Wallace,SM Sharif,MRJ Watt,AC Evans,CB Sole,C Carter,Aizaz Khan,Babar Hayat,Nizakat Khan,Anshuman Rath,Ehsan Khan,Shahid Wasif,Waqas Khan,Tanwir Afzal,Nadeem Ahmed,Tanveer Ahmed,,-,-
4,1007649,PJ Moor,CJ Chibhabha,H Masakadza,CR Ervine,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami,AG Cremer,TL Chatara,T Muzarabani,KL Rahul,KK Nair,AT Rayudu,DS Kulkarni,BB Sran,JJ Bumrah,AR Patel,YS Chahal,-,-,-,,-,-
5,1007651,H Masakadza,CJ Chibhabha,PJ Moor,V Sibanda,Sikandar Raza,E Chigumbura,R Mutumbami,AG Cremer,TL Chatara,T Muzarabani,-,KL Rahul,KK Nair,AT Rayudu,MK Pandey,BB Sran,DS Kulkarni,JJ Bumrah,AR Patel,YS Chahal,-,-,,-,-
6,1007653,H Masakadza,CJ Chibhabha,V Sibanda,T Maruma,MN Waller,E Chigumbura,AG Cremer,N Madziva,R Mutumbami,T Mupariwa,DT Tiripano,KL Rahul,FY Fazal,BB Sran,DS Kulkarni,JJ Bumrah,AR Patel,YS Chahal,-,-,-,-,,-,-
7,1014845,DM Gondaria,IA Karim,MA Ouma,CO Obuya,RR Patel,Gurdeep Singh,NM Odhiambo,NN Odhiambo,SO Ngoche,LN Oluoch,E Otieno,L Siaka,VV Morea,A Vala,S Bau,MD Dai,CJA Amini,CA Soper,N Vanua,A Nao,JB Reva,-,,-,-
8,1014847,L Siaka,VV Morea,A Vala,S Bau,MD Dai,CJA Amini,JNT Vare,JB Reva,CA Soper,N Vanua,N Pokana,Gurdeep Singh,IA Karim,RN Patel,RR Patel,CO Obuya,MA Ouma,SO Ngoche,NN Odhiambo,LN Oluoch,EB Ringera,E Otieno,,-,-
9,1019973,MJ Guptill,TWM Latham,KS Williamson,NT Broom,JDS Neesham,C Munro,L Ronchi,MJ Santner,TG Southee,TA Boult,LH Ferguson,Tamim Iqbal,Imrul Kayes,Soumya Sarkar,Mahmudullah,Shakib Al Hasan,Mushfiqur Rahim,Sabbir Rahman,Mosaddek Hossain,Mashrafe Mortaza,Taskin Ahmed,Mustafizur Rahman,,-,-
